id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.35724e+17,Rental unit in Chicago · ★4.96 · 2 bedrooms · 5 beds · 2.5 baths,98193524,Mary And JW,0.0,Loop,41.87301,-87.62656,Entire home/apt,296.0,3,26,06-12-2023,2.79,26,41,26,R23000096781
8.35808e+17,Rental unit in Chicago · 1 bedroom · 2 beds · 2 baths,396270947,Jennifer,0.0,Near West Side,41.88593016,-87.66382377,Entire home/apt,270.0,32,0,0,0.0,40,365,0,0
8.36108e+17,Home in Chicago · ★4.86 · 1 bedroom · 3 beds · 1 bath,44427387,Gleatha,0.0,Oakland,41.82346543,-87.60626149,Entire home/apt,116.0,2,14,22-10-2023,1.7,2,300,14,R21000072399
8.25392e+17,Rental unit in Chicago · ★5.0 · 2 bedrooms · 2 beds · 1 bath,194508729,Michelle,0.0,Washington Park,41.79476,-87.62802,Entire home/apt,105.0,2,17,25-11-2023,2.26,2,0,17,R23000099218
8.36113e+17,Rental unit in Chicago · ★4.90 · 2 bedrooms · 3 beds · 1.5 baths,98193524,Mary And JW,0.0,Loop,41.87263411,-87.62598005,Entire home/apt,217.0,2,30,01-12-2023,3.21,26,40,30,R23000096782
8.26036e+17,Rental unit in Chicago · 1 bedroom · 2 beds · 1 bath,88588020,Jchou451,0.0,Near South Side,41.8619122,-87.6235742,Entire home/apt,82.0,15,0,0,0.0,1,178,0,R23000097263
8.36121e+17,Rental unit in Chicago · ★4.86 · 4 bedrooms · 4 beds · 4 baths,98193524,Mary And JW,0.0,Loop,41.87293139,-87.62622027,Entire home/apt,641.0,3,7,22-10-2023,0.91,26,110,7,R23000096781
8.36345e+17,Rental unit in Chicago · ★4.83 · 2 bedrooms · 2 beds · 2 baths,121719854,Evolve,0.0,Douglas,41.83321,-87.62082,Entire home/apt,134.0,32,12,24-07-2023,1.34,51,339,12,R22000086341
8.36366e+17,Home in Chicago · ★4.25 · 4 bedrooms · 6 beds · 3 baths,193776367,Joyce,0.0,Washington Heights,41.72179573,-87.65990309,Entire home/apt,232.0,2,4,12-11-2023,0.45,2,359,4,R23000098422
8.26177e+17,Rental unit in Chicago · ★4.92 · 1 bedroom · 2 beds · 1 bath,330850700,Samson,0.0,West Ridge,41.99956882,-87.68755399,Entire home/apt,99.0,2,38,03-12-2023,3.85,1,165,38,R22000087995
8.3646e+17,Rental unit in Chicago · ★4.33 · 2 bedrooms · 5 beds · 2 baths,170785489,Dmd,0.0,Near North Side,41.8975691,-87.63865015,Entire home/apt,170.0,2,27,23-11-2023,3.05,38,351,27,2570163
8.36499e+17,Home in Chicago · ★5.0 · 4 bedrooms · 4 beds · 3.5 baths,474685383,Derrick,0.0,Douglas,41.83346275,-87.61772344,Entire home/apt,429.0,2,16,24-11-2023,1.67,3,0,16,R23000098222
8.26202e+17,Condo in Chicago · ★5.0 · 4 bedrooms · 4 beds · 1 bath,496836087,Joseph,0.0,Avondale,41.93866,-87.70076,Entire home/apt,89.0,1,20,04-12-2023,2.19,1,342,20,R22000091913
8.36782e+17,Rental unit in Chicago · ★4.95 · 1 bedroom · 1 bed · 1 bath,22796024,James,0.0,Near North Side,41.8919196,-87.6290468,Entire home/apt,148.0,4,19,03-11-2023,2.01,10,330,19,2210737
8.26798e+17,Home in Chicago · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,490365719,Walter O,0.0,Logan Square,41.9235382,-87.7005389,Private room,55.0,2,24,17-11-2023,2.45,3,361,24,R23000097057
8.36888e+17,Rental unit in Chicago · ★5.0 · 2 bedrooms · 3 beds · 1 bath,241934753,Forest,0.0,Logan Square,41.9290524,-87.6945362,Entire home/apt,104.0,3,35,09-12-2023,3.7,1,152,35,R23000098247
8.26827e+17,Home in Chicago · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,490365719,Walter O,0.0,Logan Square,41.9235382,-87.7005389,Private room,55.0,2,21,12-11-2023,2.22,3,360,21,R23000097057
